115.888770233;FBK91.05;88.86;90
115.908734012;FBK91.05;88.86;90
115.928797866;FBK91.05;88.86;90
115.948857916;FBK91.05;88.86;90
115.968784043;FBK91.05;88.86;90
115.988783076;FBK91.05;88.86;90
116.008748038;FBK91.05;88.86;90
116.028667229;FBK91.05;88.86;90
116.04872127;FBK91.05;88.86;90
116.068661908;FBK91.05;88.86;90
116.08877818;FBK91.05;88.86;90
116.108576553;FBK91.05;88.86;90
116.128591599;FBK91.05;88.86;90
116.148606359;FBK91.05;88.86;90
116.169190436;FBK91.05;88.86;90
116.188946681;FBK91.05;88.86;90
116.209043393;FBK91.05;88.86;90
116.228501363;FBK91.05;88.86;90
116.248414449;FBK91.05;88.86;90
116.268443272;FBK91.05;88.86;90
116.288415873;FBK91.05;88.86;90
116.308395537;FBK91.05;88.86;90
116.32837095;FBK91.05;88.86;90
116.348374139;FBK91.05;88.86;90
116.368380498;FBK91.05;88.86;90
116.38833083;FBK91.05;88.86;90
116.408293309;FBK91.05;88.86;90
116.428258281;FBK91.05;88.86;90
116.44821296;FBK91.05;88.86;90
116.468266282;FBK91.05;88.86;90
116.488319892;FBK91.05;88.86;90
116.508245484;FBK91.05;88.86;90
116.528198405;FBK91.05;88.86;90
116.548752803;FBK91.05;88.86;90
116.568788129;FBK91.05;88.86;90
116.588130848;FBK91.05;88.86;90
116.608040425;FBK91.05;88.86;90
116.628036818;FBK91.05;88.86;90
116.647994151;FBK91.05;88.86;90
116.668027751;FBK91.05;88.86;90
116.687971914;FBK91.05;88.86;90
116.707934265;FBK91.05;88.86;90
116.727921964;FBK91.05;88.86;90
116.747882365;FBK91.05;88.86;90
116.767873292;FBK91.05;88.86;90
116.78785594;FBK91.05;88.86;90
116.80783421;FBK91.05;88.86;90
116.828399923;FBK91.05;88.86;90
116.848375827;FBK91.05;88.86;90
116.868053374;FBK91.05;88.86;90
116.8877314;FBK91.05;88.86;90
116.907726962;FBK91.05;88.86;90
116.927699606;FBK91.05;88.86;90
116.947680496;FBK91.05;88.86;90
116.967635591;FBK91.05;88.86;90
116.98762003;FBK91.05;88.86;90
117.007600313;FBK91.05;88.86;90
117.027603163;FBK91.05;88.86;90
117.047528275;FBK91.05;88.86;90
117.067644631;FBK91.05;88.86;90
117.087501116;FBK91.05;88.86;90
