pos_x,pos_y,current_speed,current_angle,timestep
0.0,0.0,0.0,0.012130038301360592,4906.0
-4.876013597758653e-06,2.218553658427041e-12,-4.876013597759158e-05,0.012130038301360592,4907.0
-4.876013597758653e-06,2.218553658427041e-12,0.0,0.012130038301360592,4908.0
-4.876013597758653e-06,2.218553658427041e-12,0.0,0.012130038301360592,4909.0
-2.438006798879137e-06,1.6639152438202667e-12,2.438006798879579e-05,0.012130038301360592,4910.0
7.314020396636909e-06,8.319576219101104e-12,9.752027195518316e-05,0.012130038301360592,4911.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4912.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4913.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4914.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4915.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4916.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4917.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4918.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4919.0
7.314020396636909e-06,8.319576219101104e-12,0.0,0.012130038301360592,4920.0
-2.438006798881156e-06,1.0538129877528204e-11,-9.752027195518316e-05,0.012130038301360592,4921.0
-2.438006798881156e-06,1.0538129877528204e-11,0.0,0.012130038301360592,4922.0
-2.438006798881156e-06,1.0538129877528204e-11,0.0,0.012130038301360592,4923.0
-2.438006798881156e-06,1.0538129877528204e-11,0.0,0.012130038301360592,4924.0
-2.438006798881156e-06,1.0538129877528204e-11,0.0,0.012130038301360592,4925.0
-2.438006798881156e-06,1.0538129877528204e-11,0.0,0.012130038301360592,4926.0
-1.2190033994393164e-05,2.1630898169661402e-11,-9.752027195518316e-05,0.012130038301360592,4927.0
-1.2190033994393164e-05,2.1630898169661402e-11,0.0,0.012130038301360592,4928.0
-1.2190033994393164e-05,2.1630898169661402e-11,0.0,0.012130038301360592,4929.0
-1.2190033994393164e-05,2.1630898169661402e-11,0.0,0.012130038301360592,4930.0
-1.2190033994393164e-05,2.1630898169661402e-11,0.0,0.012130038301360592,4931.0
-1.7066047592146138e-05,2.939583597415303e-11,-4.876013597759158e-05,0.012130038301360592,4932.0
-1.7066047592146138e-05,2.939583597415303e-11,0.0,0.012130038301360592,4933.0
-2.1942061189895078e-05,3.9379327437068086e-11,-4.876013597759158e-05,0.012130038301360592,4934.0
-2.1942061189895078e-05,3.9379327437068086e-11,0.0,0.012130038301360592,4935.0
-2.1942061189895078e-05,3.9379327437068086e-11,0.0,0.012130038301360592,4936.0
-2.1942061189895078e-05,3.9379327437068086e-11,0.0,0.012130038301360592,4937.0
-2.1942061189895078e-05,3.9379327437068086e-11,0.0,0.012130038301360592,4938.0
-2.438006798876835e-05,4.49257115831311e-11,-2.438006798879579e-05,0.012130038301360592,4939.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4940.0
-2.438006798876835e-05,4.49257115831311e-11,0.0,0.012130038301360592,4941.0
