timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5717.0,-854.25,-204.25,1.0,-853.5,-528.0,1.0,840.0,566.0,1.0,844.5,433.5,1.0,-0.2425,0.2199999999999999
5718.0,-853.5,-299.0,1.0,-848.5,-533.5,1.0,830.0,481.5,1.0,841.5,496.0,1.0,-0.65625,0.66875
5719.0,-837.75,-324.0,1.0,-841.0,-415.0,1.0,825.0,435.5,1.0,832.75,555.25,1.0,-1.4674999999999998,1.4874999999999998
5720.0,-823.0,-340.0,1.0,-809.75,-234.25,1.0,835.0,450.75,1.0,841.0,668.0,1.0,-2.4325,2.4775
5721.0,-818.0,-354.5,1.0,-807.0,-276.5,1.0,835.5,423.0,1.0,833.75,719.75,1.0,-2.9450000000000003,2.9450000000000003
5722.0,-801.25,-163.75,1.0,-799.25,-247.5,1.0,846.0,636.0,1.0,842.0,720.5,1.0,-4.93375,4.9425
5723.0,-788.5,-208.0,1.0,-788.0,-114.0,1.0,861.25,833.0,1.0,843.75,766.25,1.0,-8.255,8.1875
5724.0,-748.75,-213.25,1.0,-767.5,-322.5,1.0,893.0,871.0,1.0,889.5,756.5,1.0,-11.98375,11.9625
5725.0,-709.0,-549.0,1.0,-720.5,-385.0,1.0,888.0,841.75,1.0,896.0,664.0,1.0,-13.085,13.085
5726.0,-678.25,-244.25,1.0,-700.0,-343.5,1.0,883.0,812.5,1.0,890.5,783.25,1.0,-12.285,12.20875
5727.0,-693.0,-520.5,1.0,-701.25,-361.5,1.0,878.0,783.25,1.0,874.5,838.5,1.0,-10.3725,10.3275
5728.0,-702.0,-410.0,1.0,-707.5,-302.5,1.0,873.0,754.0,1.0,863.75,674.0,1.0,-8.66625,8.62375
5729.0,-719.0,-275.0,1.0,-723.0,-211.5,1.0,868.0,724.75,1.0,839.0,757.0,1.0,-8.1525,8.129999999999999
5730.0,-737.5,-471.0,1.0,-744.0,-297.0,1.0,863.0,695.5,1.0,843.0,630.75,1.0,-8.17,8.17
5731.0,-731.5,-430.25,1.0,-746.5,-357.5,1.0,858.0,666.25,1.0,848.0,739.0,1.0,-8.129999999999999,8.17
5732.0,-735.0,-339.0,1.0,-761.25,-540.5,1.0,853.0,637.0,1.0,844.5,635.5,1.0,-8.17,8.17
5733.0,-722.0,-195.5,1.0,-749.5,-635.5,1.0,846.3333333333334,620.3333333333334,1.0,854.75,774.25,1.0,-8.129999999999999,8.17
5734.0,-718.75,-260.25,1.0,-732.75,-574.25,1.0,839.6666666666666,603.6666666666666,1.0,836.0,806.5,1.0,-8.17,8.17
5735.0,-716.5,-417.0,1.0,-720.5,-503.0,1.0,833.0,587.0,1.0,833.5,675.0,1.0,-8.17,8.17
5736.0,-706.25,-503.25,1.0,-705.75,-330.0,1.0,835.5,586.5952380952381,1.0,810.5,642.0,1.0,-8.17,8.17
5737.0,-696.0,-467.0,1.0,-704.0,-391.0,1.0,838.0,586.1904761904761,1.0,816.5,763.0,1.0,-8.17,8.17
5738.0,-701.25,-497.0,1.0,-716.0,-432.0,1.0,840.5,585.7857142857143,1.0,830.5,732.75,1.0,-8.17,8.17
5739.0,-701.0,-337.5,1.0,-733.0,-406.75,1.0,843.0,585.3809523809524,1.0,830.0,691.0,1.0,-8.17,8.129999999999999
5740.0,-707.5,-545.5,1.0,-733.0,-495.5,1.0,845.5,584.9761904761905,1.0,828.0,780.0,1.0,-8.17,8.149999999999999
5741.0,-708.75,-446.5,1.0,-736.75,-593.0,1.0,848.0,584.5714285714286,1.0,841.5,741.0,1.0,-8.17,8.17
5742.0,-712.5,-312.0,1.0,-739.0,-586.0,1.0,850.5,584.1666666666666,1.0,842.0,800.0,1.0,-8.17,8.17
5743.0,-719.0,-336.75,1.0,-727.25,-477.75,1.0,853.0,583.7619047619048,1.0,857.5,711.5,1.0,-8.182500000000001,8.182500000000001
5744.0,-727.0,-542.0,1.0,-728.5,-405.0,1.0,855.5,583.3571428571429,1.0,838.0,523.0,1.0,-8.20125,8.20125
5745.0,-731.25,-500.0,1.0,-727.5,-358.5,1.0,858.0,582.952380952381,1.0,853.0,677.5,1.0,-8.2575,8.2575
5746.0,-731.5,-322.5,1.0,-739.0,-374.0,1.0,860.5,582.547619047619,1.0,859.5,637.5,1.0,-8.17,8.17
5747.0,-739.0,-483.5,1.0,-744.0,-347.0,1.0,863.0,582.1428571428571,1.0,860.25,682.75,1.0,-8.129999999999999,8.17
5748.0,-737.0,-380.25,1.0,-745.75,-366.25,1.0,865.5,581.7380952380952,1.0,862.5,745.5,1.0,-8.17,8.17
